iter	Logloss
0	0.5851521978
1	0.5102484417
2	0.4589864347
3	0.4133425206
4	0.3846440591
5	0.3611767141
6	0.3423888572
7	0.3270533538
8	0.3150279568
9	0.3052863759
10	0.2955652242
11	0.2907158087
12	0.2850044818
13	0.2793793061
14	0.2758533278
15	0.2732802042
16	0.2697226784
17	0.267826301
18	0.2648856003
19	0.2615451235
20	0.2596454883
21	0.2581969122
22	0.2566631727
23	0.2545901632
24	0.2536873725
25	0.2520383304
26	0.2514827087
27	0.2505969423
28	0.2497872387
29	0.2489029015
30	0.2474391506
31	0.2469375232
32	0.2462171444
33	0.2454607835
34	0.2450015906
35	0.2442821366
36	0.2438246462
37	0.2429239152
38	0.2423720347
39	0.2411287376
40	0.2404406419
41	0.2397954011
42	0.2391948017
43	0.2380261592
44	0.237648956
45	0.237443656
46	0.2360447445
47	0.2359090337
48	0.2356890424
49	0.2346037978
50	0.2337745057
51	0.2334184673
52	0.2333051403
53	0.2331730866
54	0.2330342443
55	0.2328004653
56	0.2318268243
57	0.2310219757
58	0.2308112741
59	0.2303659108
60	0.2301780764
61	0.2300145173
62	0.2291548127
63	0.2290343818
64	0.2288507299
65	0.2284350855
66	0.2282454856
67	0.2281444539
68	0.2279107801
69	0.2278180083
70	0.227606529
71	0.2269742561
72	0.226292865
73	0.2260209811
74	0.2257515983
75	0.2256701761
76	0.2252366668
77	0.225160646
78	0.2249213605
79	0.2246943282
80	0.2246298462
81	0.2243332035
82	0.223665663
83	0.2234588497
84	0.2233212263
85	0.2228259883
86	0.2227563359
87	0.2221016372
88	0.22134143
89	0.2212441605
90	0.2204834489
91	0.2204259026
92	0.2200725755
93	0.2199921411
94	0.2191856531
95	0.2189179308
96	0.2183190548
97	0.2175216044
98	0.216804021
99	0.2162667897
