iter	Passed	Remaining
0	0	90
1	1	86
2	2	84
3	3	80
4	4	82
5	5	78
6	5	76
7	6	76
8	7	75
9	8	74
10	9	73
11	9	71
12	10	71
13	11	69
14	12	68
15	13	68
16	14	68
17	14	68
18	15	67
19	16	66
20	17	65
21	18	64
22	18	63
23	19	62
24	20	61
25	21	60
26	22	59
27	23	59
28	23	58
29	24	57
30	25	57
31	26	56
32	27	55
33	28	54
34	29	53
35	29	53
36	30	52
37	31	51
38	32	50
39	33	49
40	34	49
41	34	48
42	35	47
43	36	46
44	37	45
45	38	45
46	39	44
47	39	43
48	40	42
49	41	41
50	42	40
51	43	40
52	44	39
53	44	38
54	45	37
55	46	36
56	47	35
57	48	34
58	48	33
59	49	33
60	50	32
61	51	31
62	52	30
63	52	29
64	53	28
65	54	28
66	55	27
67	56	26
68	56	25
69	58	24
70	58	24
71	59	23
72	60	22
73	61	21
74	62	20
75	62	19
76	63	19
77	64	18
78	65	17
79	65	16
80	66	15
81	67	14
82	68	13
83	69	13
84	69	12
85	71	11
86	71	10
87	72	9
88	73	9
89	74	8
90	75	7
91	76	6
92	76	5
93	77	4
94	78	4
95	79	3
96	80	2
97	81	1
98	81	0
99	82	0
